feature_set,endpoint,model,fold,n_total,n_pos,pos_rate,roc_auc,avg_prec,mcc,bal_acc,best_params
pycsrml,CYP3A4_antagonist,RandomForest,4,9014,2219,0.2462,0.8095,0.5726,0.367,0.6594,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,p53_ratio,RandomForest,0,9014,748,0.083,0.8344,0.3649,0.2799,0.5941,"{'max_features': 'sqrt', 'n_estimators': 200}"
chemotyper,p53_ratio,RandomForest,1,9014,748,0.083,0.8201,0.3534,0.2854,0.5991,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,p53_ratio,RandomForest,2,9014,748,0.083,0.8049,0.3717,0.2912,0.5997,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,p53_ratio,RandomForest,3,9014,748,0.083,0.8058,0.3302,0.2305,0.5806,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,p53_ratio,RandomForest,4,9014,748,0.083,0.832,0.3452,0.2581,0.5867,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,p53_ratio,RandomForest,0,9014,748,0.083,0.8182,0.3512,0.2527,0.591,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,p53_ratio,RandomForest,1,9014,748,0.083,0.8258,0.3559,0.2975,0.6055,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,p53_ratio,RandomForest,2,9014,748,0.083,0.802,0.3635,0.2865,0.5967,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,p53_ratio,RandomForest,3,9014,748,0.083,0.8001,0.3273,0.2305,0.5806,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,p53_ratio,RandomForest,4,9014,748,0.083,0.8236,0.3253,0.2618,0.5846,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,Caspase3_HEPG2,RandomForest,0,9014,347,0.0385,0.8438,0.3142,0.3023,0.5974,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,Caspase3_HEPG2,RandomForest,1,9014,347,0.0385,0.8512,0.3363,0.3454,0.6189,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,Caspase3_HEPG2,RandomForest,2,9014,347,0.0385,0.8622,0.3869,0.3776,0.6508,"{'max_features': 0.2, 'n_estimators': 400}"
chemotyper,Caspase3_HEPG2,RandomForest,3,9014,347,0.0385,0.8207,0.2652,0.2724,0.5945,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,Caspase3_HEPG2,RandomForest,4,9014,347,0.0385,0.8398,0.2666,0.2274,0.5806,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,Caspase3_HEPG2,RandomForest,0,9014,347,0.0385,0.8579,0.3146,0.2426,0.5754,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,Caspase3_HEPG2,RandomForest,1,9014,347,0.0385,0.8582,0.3461,0.3072,0.6105,"{'max_features': 0.2, 'n_estimators': 400}"
pycsrml,Caspase3_HEPG2,RandomForest,2,9014,347,0.0385,0.8735,0.406,0.4043,0.6522,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,Caspase3_HEPG2,RandomForest,3,9014,347,0.0385,0.8326,0.2692,0.2406,0.5742,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,Caspase3_HEPG2,RandomForest,4,9014,347,0.0385,0.811,0.2569,0.2566,0.5948,"{'max_features': 'sqrt', 'n_estimators': 400}"
